,id,book,book2,chapter,verse,language,stem,obj_valence,source,main_sub,discourse,genre
350,473716,Jeremiah,Jeremiah,7,30,hbo,qal,1001,,,,prophecy
352,474045,Jeremiah,Jeremiah,10,22,hbo,qal,2000,,subadv,Q,prophecy
354,474222,Jeremiah,Jeremiah,12,11,hbo,qal,1100,,subadv,Q,prophecy
358,474336,Jeremiah,Jeremiah,13,16,hbo,qal,1100,,main,Q,prophecy
359,474716,Jeremiah,Jeremiah,17,5,hbo,qal,2000,,subadv,Q,prophecy
360,474883,Jeremiah,Jeremiah,18,16,hbo,qal,1100,,subadv,N,prophecy
361,474957,Jeremiah,Jeremiah,19,8,hbo,qal,1100,,main,Q,prophecy
364,475557,Jeremiah,Jeremiah,25,9,hbo,qal,1100,,main,Q,prophecy
365,475566,Jeremiah,Jeremiah,25,12,hbo,qal,1100,,main,Q,prophecy
366,476011,Jeremiah,Jeremiah,29,22,hbo,qal,1010,,,,prophecy
381,478652,Jeremiah,Jeremiah,51,29,hbo,qal,1100,,subadv,N,prophecy
386,479523,Ezekiel,Ezekiel,7,20,hbo,qal,1100,,main,Q,prophecy
391,480202,Ezekiel,Ezekiel,14,8,hbo,hif,1100,,main,Q,prophecy
395,480584,Ezekiel,Ezekiel,17,5,hbo,qal,2000,,main,N,prophecy
396,480868,Ezekiel,Ezekiel,19,5,hbo,qal,2000,,main,N,prophecy
401,481236,Ezekiel,Ezekiel,21,24,hbo,qal,1001,,,,prophecy
405,481275,Ezekiel,Ezekiel,21,32,hbo,qal,2000,,main,Q,prophecy
416,482850,Ezekiel,Ezekiel,35,4,hbo,qal,2000,,main,Q,prophecy
424,484500,Hosea,Hosea,2,5,hbo,qal,1010,,,,prophecy
425,484538,Hosea,Hosea,2,14,hbo,qal,1100,,main,Q,prophecy
426,485087,Hosea,Hosea,11,8,hbo,qal,1010,,,,prophecy
427,485293,Joel,Joel,1,7,hbo,qal,1100,,main,Q,prophecy
429,486110,Amos,Amos,8,10,hbo,qal,1010,,,,prophecy
433,486551,Micah,Micah,1,6,hbo,qal,1100,,main,Q,prophecy
434,486556,Micah,Micah,1,7,hbo,qal,2000,,main,Q,prophecy
435,486645,Micah,Micah,2,12,hbo,qal,1010,,,,prophecy
436,486739,Micah,Micah,4,7,hbo,qal,1100,,main,Q,prophecy
437,486771,Micah,Micah,4,13,hbo,qal,2000,,subadv,Q,prophecy
438,486772,Micah,Micah,4,13,hbo,qal,2000,,main,Q,prophecy
442,487136,Nahum,Nahum,3,6,hbo,qal,1010,,,,prophecy
445,487446,Habakkuk,Habakkuk,3,19,hbo,qal,1010,,,,prophecy
446,487574,Zephaniah,Zephaniah,2,13,hbo,qal,1100,,main,Q,prophecy
447,487677,Zephaniah,Zephaniah,3,19,hbo,qal,1100,,main,Q,prophecy
454,487840,Haggai,Haggai,2,23,hbo,qal,1010,,,,prophecy
458,488303,Zechariah,Zechariah,7,12,hbo,qal,2000,,main,N,prophecy
459,488316,Zechariah,Zechariah,7,14,hbo,qal,1100,,main,N,prophecy
460,488475,Zechariah,Zechariah,9,13,hbo,qal,1010,,,,prophecy
461,488507,Zechariah,Zechariah,10,3,hbo,qal,1010,,,,prophecy
462,488643,Zechariah,Zechariah,12,2,hbo,qal,2000,,main,Q,prophecy
464,488656,Zechariah,Zechariah,12,6,hbo,qal,1010,,,,prophecy
465,488846,Malachi,Malachi,1,3,hbo,qal,2000,,main,N,prophecy
468,489848,Psalms,Psalms,18,44,hbo,qal,1100,,main,D,poetry
470,490980,Psalms,Psalms,39,9,hbo,qal,2000,,main,Q,poetry
471,491015,Psalms,Psalms,40,5,hbo,qal,2000,,main,D,poetry
472,491218,Psalms,Psalms,44,14,hbo,qal,2000,,main,D,poetry
473,491220,Psalms,Psalms,44,15,hbo,qal,2000,,main,D,poetry
476,491618,Psalms,Psalms,52,9,hbo,qal,2000,,submod,Q,poetry
482,492724,Psalms,Psalms,74,4,hbo,qal,2000,,main,Q,poetry
486,493098,Psalms,Psalms,79,1,hbo,qal,1100,,main,Q,poetry
487,493153,Psalms,Psalms,80,7,hbo,qal,2000,,main,D,poetry
493,493627,Psalms,Psalms,89,41,hbo,qal,2000,,main,Q,poetry
494,493741,Psalms,Psalms,91,9,hbo,qal,2000,,main,Q,poetry
495,494227,Psalms,Psalms,104,3,hbo,qal,2000,,subadv,Q,poetry
497,494371,Psalms,Psalms,105,21,hbo,qal,2000,,main,N,poetry
499,494609,Psalms,Psalms,107,33,hbo,qal,1100,,main,?,poetry
500,494612,Psalms,Psalms,107,35,hbo,qal,1100,,main,?,poetry
501,494627,Psalms,Psalms,107,41,hbo,qal,1010,,,,poetry
503,496304,Psalms,Psalms,147,14,hbo,qal,2000,,submod,Q,poetry
512,496911,Job,Job,7,20,hbo,qal,1100,,main,Q,poetry
515,497587,Job,Job,17,12,hbo,qal,1100,,main,Q,poetry
523,498053,Job,Job,24,15,hbo,qal,2000,,main,?,poetry
524,498085,Job,Job,24,25,hbo,qal,1100,,main,Q,poetry
527,498459,Job,Job,31,24,hbo,qal,2000,,subadv,Q,poetry
535,498979,Job,Job,38,9,hbo,qal,2000,,subadv,N,poetry
538,499076,Job,Job,39,6,hbo,qal,2000,,submod,Q,poetry
542,499267,Job,Job,41,23,hbo,qal,1010,,main,Q,poetry
547,502212,Song_of_songs,songs,1,6,hbo,qal,2000,,main,Q,poetry
549,502608,Song_of_songs,songs,8,6,hbo,qal,1010,,,,poetry
550,503911,Lamentations,Lamentations,3,11,hbo,qal,2000,,main,Q,poetry
551,503980,Lamentations,Lamentations,3,45,hbo,qal,2000,,main,Q,poetry
590,508222,Nehemiah,Nehemiah,9,7,hbo,qal,2000,,subadv,Q,prose
597,510923,1_Chronicles,Chronicles,26,10,hbo,qal,1100,,main,N,prose
