,id,book,book2,chapter,verse,language,stem,und_do,L_object,dir_object,infinitive_object,location,benefactive,K_object,indirect_object,tot_obj,valence,obj_valence,source,main_sub,discourse,genre,,parallel,DSS
359,474716,Jeremiah,Jeremiah,17,5,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,subadv,Q,prophecy,"and make mere flesh their strength,",,
360,474883,Jeremiah,Jeremiah,18,16,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,subadv,N,prophecy,"making their land a horror,",,
361,474957,Jeremiah,Jeremiah,19,8,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,main,Q,prophecy,And I will make this city a horror,,
364,475557,Jeremiah,Jeremiah,25,9,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,main,Q,prophecy,"and make them an object of horror and of hissing, and an everlasting disgrace",,
365,475566,Jeremiah,Jeremiah,25,12,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,main,Q,prophecy,making the land an everlasting waste,,
366,476011,Jeremiah,Jeremiah,29,22,hbo,qal,0,0,1,0,0,0,1,0,1,101000,1010,,,,prophecy,,,
381,478652,Jeremiah,Jeremiah,51,29,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,subadv,N,prophecy,"to make the land of Babylon a desolation,",,
386,479523,Ezekiel,Ezekiel,7,20,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,main,Q,prophecy,also NTN!,14.8 also,
391,480202,Ezekiel,Ezekiel,14,8,hbo,hif,0,1,1,0,0,0,0,0,1,110000,1100,,main,Q,prophecy,I will make them a sign and a byword ,,
395,480584,Ezekiel,Ezekiel,17,5,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,main,N,prophecy,he set it like a willow twig,,
396,480868,Ezekiel,Ezekiel,19,5,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,main,N,prophecy,and made him a young lion,,
401,481236,Ezekiel,Ezekiel,21,24,hbo,qal,0,0,1,1,0,1,0,0,1,100101,1001,,,,prophecy,,,
405,481275,Ezekiel,Ezekiel,21,32,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,main,Q,prophecy,,,
416,482850,Ezekiel,Ezekiel,35,4,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,main,Q,prophecy,I lay your towns in ruins,,
424,484500,Hosea,Hosea,2,5,hbo,qal,0,0,1,0,0,0,1,0,1,101000,1010,,,,prophecy,,,
425,484538,Hosea,Hosea,2,14,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,main,Q,prophecy,I will make them a forest,,
426,485087,Hosea,Hosea,11,8,hbo,qal,0,0,1,0,0,0,1,0,1,101000,1010,,,,prophecy,,,
427,485293,Joel,Joel,1,7,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,main,Q,prophecy,"It has laid waste my vines,",,
429,486110,Amos,Amos,8,10,hbo,qal,0,0,1,0,0,0,1,0,1,101000,1010,,,,prophecy,,,
433,486551,Micah,Micah,1,6,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,main,Q,prophecy,Therefore I will make Samaria a heap in the open country,,
434,486556,Micah,Micah,1,7,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,main,Q,prophecy,and all her idols I will lay waste,,
435,486645,Micah,Micah,2,12,hbo,qal,0,0,1,0,0,0,1,0,1,101000,1010,,,,prophecy,,,
436,486739,Micah,Micah,4,7,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,main,Q,prophecy,The lame I will make the remnant,,
437,486771,Micah,Micah,4,13,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,subadv,Q,prophecy,for I will make your horn iron,,
438,486772,Micah,Micah,4,13,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,main,Q,prophecy,and your hoofs bronze;,,
442,487136,Nahum,Nahum,3,6,hbo,qal,0,0,1,0,0,0,1,0,1,101000,1010,,,,prophecy,,,
445,487446,Habakkuk,Habakkuk,3,19,hbo,qal,0,0,1,0,0,0,1,0,1,101000,1010,,,,prophecy,,,
446,487574,Zephaniah,Zephaniah,2,13,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,main,Q,prophecy,"and he will make Nineveh a desolation,",,
447,487677,Zephaniah,Zephaniah,3,19,hbo,qal,0,1,1,0,1,0,0,0,1,110010,1100,,main,Q,prophecy,    a dry waste like the desert.,,
454,487840,Haggai,Haggai,2,23,hbo,qal,0,0,1,0,0,0,1,0,1,101000,1010,,,,prophecy,,,
458,488303,Zechariah,Zechariah,7,12,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,main,N,prophecy,They made their hearts adamant,,
459,488316,Zechariah,Zechariah,7,14,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,main,N,prophecy,and a pleasant land was made desolate,,
460,488475,Zechariah,Zechariah,9,13,hbo,qal,0,0,1,0,0,0,1,0,1,101000,1010,,,,prophecy,,,
461,488507,Zechariah,Zechariah,10,3,hbo,qal,0,0,1,0,0,0,1,0,1,101000,1010,,,,prophecy,,,
462,488643,Zechariah,Zechariah,12,2,hbo,qal,0,0,2,0,0,1,0,0,2,200001,2000,,main,Q,prophecy,I am about to make Jerusalem a cup of reeling for all the surrounding peoples;,,
464,488656,Zechariah,Zechariah,12,6,hbo,qal,0,0,1,0,0,0,1,0,1,101000,1010,,,,prophecy,,,
465,488846,Malachi,Malachi,1,3,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,main,N,prophecy, I have made his hill country a desolation and his heritage a desert for jackals,,
468,489848,Psalms,Psalms,18,44,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,main,D,poetry, you made me head of the nations,,
470,490980,Psalms,Psalms,39,9,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,main,Q,poetry,Do not make me the scorn of the fool.,,
471,491015,Psalms,Psalms,40,5,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,main,D,poetry,,,
472,491218,Psalms,Psalms,44,14,hbo,qal,0,0,2,0,0,1,0,0,2,200001,2000,,main,D,poetry,You have made us the taunt of our neighbors,,
473,491220,Psalms,Psalms,44,15,hbo,qal,0,0,2,0,1,0,0,0,2,200010,2000,,main,D,poetry,You have made us a byword among the nations,,
476,491618,Psalms,Psalms,52,9,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,submod,Q,poetry,,,
482,492724,Psalms,Psalms,74,4,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,main,Q,poetry,made their signs signs,,
486,493098,Psalms,Psalms,79,1,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,main,Q,poetry,they have laid Jerusalem in ruins.,,
487,493153,Psalms,Psalms,80,7,hbo,qal,0,0,2,0,0,1,0,0,2,200001,2000,,main,D,poetry,You make us the scorn[a] of our neighbors,,
493,493627,Psalms,Psalms,89,41,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,main,Q,poetry,he has become the scorn of his neighbors,,
494,493741,Psalms,Psalms,91,9,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,main,Q,poetry,"Because you have made the Lord your refuge,[b]",,
495,494227,Psalms,Psalms,104,3,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,subadv,Q,poetry,"you make the clouds your[b] chariot,",,
497,494371,Psalms,Psalms,105,21,hbo,qal,0,0,2,0,0,1,0,0,2,200001,2000,,main,N,poetry,"He made him lord of his house,",,
499,494609,Psalms,Psalms,107,33,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,main,?,poetry,"He turns rivers into a desert,",,
500,494612,Psalms,Psalms,107,35,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,main,?,poetry,"He turns a desert into pools of water,",,
501,494627,Psalms,Psalms,107,41,hbo,qal,0,0,1,0,0,0,1,0,1,101000,1010,,,,poetry,    a parched land into springs of water.,,
503,496304,Psalms,Psalms,147,14,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,submod,Q,poetry,He grants peace[b] within your borders,,
512,496911,Job,Job,7,20,hbo,qal,0,1,1,0,0,1,0,0,1,110001,1100,,main,Q,poetry,Why have you made me your target?,,
515,497587,Job,Job,17,12,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,main,Q,poetry,They make night into day;,,
523,498053,Job,Job,24,15,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,main,?,poetry,and he disguises his face,,
524,498085,Job,Job,24,25,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,main,Q,poetry,here is nothing in what I say,,
527,498459,Job,Job,31,24,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,subadv,Q,poetry,"If I have made gold my trust,",,
535,498979,Job,Job,38,9,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,subadv,N,poetry,"when I made the clouds its garment,",,
538,499076,Job,Job,39,6,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,submod,Q,poetry,to which I have given the steppe for its home,,
542,499267,Job,Job,41,23,hbo,qal,0,0,1,0,0,0,1,0,1,101000,1010,,main,Q,poetry,,,
547,502212,Song_of_songs,songs,1,6,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,main,Q,poetry,"they made me keeper of the vineyards,",,
549,502608,Song_of_songs,songs,8,6,hbo,qal,0,0,1,0,1,0,1,0,1,101010,1010,,,,poetry,,,
550,503911,Lamentations,Lamentations,3,11,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,main,Q,poetry,he has made me desolate,,
551,503980,Lamentations,Lamentations,3,45,hbo,qal,0,0,2,0,1,0,0,0,2,200010,2000,,main,Q,poetry,You have made us filth and rubbish,,
590,508222,Nehemiah,Nehemiah,9,7,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,subadv,Q,prose,    among the peoples.,,
597,510923,1_Chronicles,Chronicles,26,10,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,main,N,prose,,no,
